,id,cycle,setting1,setting2,setting3,RUL,label1,label2,cycle_norm
0,1,1,0.45977011494252873,0.16666666666666663,0.0,191,0,0,0.0
1,1,2,0.6091954022988506,0.25,0.0,190,0,0,0.002770083102493075
2,1,3,0.2528735632183908,0.75,0.0,189,0,0,0.0055401662049861505
3,1,4,0.5402298850574713,0.5,0.0,188,0,0,0.008310249307479225
4,1,5,0.3908045977011494,0.3333333333333333,0.0,187,0,0,0.0110803324099723
5,1,6,0.2528735632183908,0.41666666666666663,0.0,186,0,0,0.013850415512465375
6,1,7,0.5574712643678161,0.5833333333333334,0.0,185,0,0,0.016620498614958446
7,1,8,0.3045977011494253,0.75,0.0,184,0,0,0.019390581717451522
8,1,9,0.5459770114942529,0.5833333333333334,0.0,183,0,0,0.0221606648199446
9,1,10,0.31034482758620685,0.5833333333333334,0.0,182,0,0,0.02493074792243767
10,1,11,0.603448275862069,0.25,0.0,181,0,0,0.027700831024930747
11,1,12,0.5919540229885057,0.6666666666666667,0.0,180,0,0,0.030470914127423823
12,1,13,0.3908045977011494,0.8333333333333334,0.0,179,0,0,0.0332409972299169
13,1,14,0.5517241379310345,0.5,0.0,178,0,0,0.03601108033240997
14,1,15,0.39655172413793105,0.25,0.0,177,0,0,0.038781163434903045
15,1,16,0.5344827586206896,0.9166666666666667,0.0,176,0,0,0.04155124653739612
16,1,17,0.5114942528735632,0.6666666666666667,0.0,175,0,0,0.0443213296398892
17,1,18,0.3218390804597701,0.41666666666666663,0.0,174,0,0,0.04709141274238227
18,1,19,0.6839080459770115,0.25,0.0,173,0,0,0.04986149584487534
19,1,20,0.28735632183908044,0.5833333333333334,0.0,172,0,0,0.05263157894736842
20,1,21,0.43103448275862066,0.5833333333333334,0.0,171,0,0,0.055401662049861494
21,1,22,0.5114942528735632,0.5,0.0,170,0,0,0.05817174515235457
22,1,23,0.6954022988505747,0.25,0.0,169,0,0,0.060941828254847646
23,1,24,0.4425287356321839,0.75,0.0,168,0,0,0.06371191135734072
24,1,25,0.632183908045977,0.16666666666666663,0.0,167,0,0,0.0664819944598338
25,1,26,0.5,0.6666666666666667,0.0,166,0,0,0.06925207756232687
26,1,27,0.43103448275862066,0.16666666666666663,0.0,165,0,0,0.07202216066481994
27,1,28,0.3620689655172414,0.9166666666666667,0.0,164,0,0,0.07479224376731301
28,1,29,0.5689655172413793,0.41666666666666663,0.0,163,0,0,0.07756232686980609
29,1,30,0.3735632183908046,0.5,0.0,162,0,0,0.08033240997229917
30,1,31,0.5804597701149425,0.9166666666666667,0.0,161,0,0,0.08310249307479224
31,1,32,0.5287356321839081,0.25,0.0,160,0,0,0.08587257617728532
32,1,33,0.2586206896551724,0.16666666666666663,0.0,159,0,0,0.0886426592797784
33,1,34,0.5862068965517242,0.41666666666666663,0.0,158,0,0,0.09141274238227147
34,1,35,0.5172413793103449,0.6666666666666667,0.0,157,0,0,0.09418282548476455
35,1,36,0.47701149425287354,0.3333333333333333,0.0,156,0,0,0.09695290858725762
36,1,37,0.47701149425287354,0.5,0.0,155,0,0,0.0997229916897507
37,1,38,0.39655172413793105,0.3333333333333333,0.0,154,0,0,0.10249307479224376
38,1,39,0.3275862068965517,0.41666666666666663,0.0,153,0,0,0.10526315789473684
39,1,40,0.5,0.16666666666666663,0.0,152,0,0,0.10803324099722991
